tanggal,harga_oz,kurs_oz,idr_oz,harga_gr,kurs_gr,idr_gr,update_asli
20 Febuari 2021,"1.784,28 (-840,21)","14.085,01 (-2.076,99)",25.131.602,"57,37","14.085,01","808.000 (-555.738,70)","20 Febuari 2021, pukul 23:59"
21 Febuari 2021,"1.784,28 (-840,21)","14.085,01 (-2.076,99)",25.131.602,"57,37","14.085,01","808.000 (-555.738,70)","21 Febuari 2021, pukul 23:59"
22 Febuari 2021,"1.810,91 (-813,58)","14.098,00 (-2.064,00)",25.530.209,"58,22","14.098,00","820.815 (-542.923,17)","22 Febuari 2021, pukul 23:58"
23 Febuari 2021,"1.807,24 (-817,25)","14.126,00 (-2.036,00)",25.529.072,"58,10","14.126,00","820.779 (-542.959,72)","23 Febuari 2021, pukul 23:59"
24 Febuari 2021,"1.800,94 (-823,55)","14.089,01 (-2.072,99)",25.373.462,"57,90","14.089,01","815.776 (-547.962,72)","24 Febuari 2021, pukul 23:59"
25 Febuari 2021,"1.782,27 (-842,22)","14.104,00 (-2.058,00)",25.137.136,"57,30","14.104,00","808.178 (-555.560,76)","25 Febuari 2021, pukul 23:59"
26 Febuari 2021,"1.721,01 (-903,48)","14.229,01 (-1.932,99)",24.488.269,"55,33","14.229,01","787.316 (-576.422,34)","26 Febuari 2021, pukul 23:59"
27 Febuari 2021,"1.734,78 (-889,71)","14.229,01 (-1.932,99)",24.684.202,"55,77","14.229,01","793.616 (-570.122,93)","27 Febuari 2021, pukul 23:59"
28 Febuari 2021,"1.734,78 (-889,71)","14.229,01 (-1.932,99)",24.684.202,"55,77","14.229,01","793.616 (-570.122,93)","28 Febuari 2021, pukul 23:59"
01 Maret 2021,"1.731,81 (-892,68)","14.300,00 (-1.862,00)",24.764.883,"55,68","14.300,00","796.209 (-567.528,98)","01 Maret 2021, pukul 23:59"
02 Maret 2021,"1.734,33 (-890,16)","14.307,01 (-1.854,99)",24.813.077,"55,76","14.307,01","797.759 (-565.979,52)","02 Maret 2021, pukul 23:59"
03 Maret 2021,"1.719,04 (-905,45)","14.334,00 (-1.828,00)",24.640.719,"55,27","14.334,00","792.218 (-571.520,93)","03 Maret 2021, pukul 23:59"
04 Maret 2021,"1.715,45 (-909,04)","14.299,01 (-1.862,99)",24.529.237,"55,15","14.299,01","788.633 (-575.105,18)","04 Maret 2021, pukul 23:59"
05 Maret 2021,"1.696,33 (-928,16)","14.371,01 (-1.790,99)",24.377.975,"54,54","14.371,01","783.770 (-579.968,35)","05 Maret 2021, pukul 23:59"
06 Maret 2021,"1.701,06 (-923,43)","14.371,01 (-1.790,99)",24.445.950,"54,69","14.371,01","785.956 (-577.782,90)","06 Maret 2021, pukul 23:59"
07 Maret 2021,"1.701,06 (-923,43)","14.371,01 (-1.790,99)",24.445.950,"54,69","14.371,01","785.956 (-577.782,90)","07 Maret 2021, pukul 23:59"
08 Maret 2021,"1.680,00 (-944,49)","14.390,00 (-1.772,00)",24.175.200,"54,01","14.390,00","777.251 (-586.487,73)","08 Maret 2021, pukul 23:59"
09 Maret 2021,"1.715,93 (-908,56)","14.468,00 (-1.694,00)",24.826.075,"55,17","14.468,00","798.177 (-565.561,60)","09 Maret 2021, pukul 23:59"
10 Maret 2021,"1.718,69 (-905,80)","14.421,01 (-1.740,99)",24.785.246,"55,26","14.421,01","796.864 (-566.874,30)","10 Maret 2021, pukul 23:59"
11 Maret 2021,"1.724,95 (-899,54)","14.421,01 (-1.740,99)",24.875.521,"55,46","14.421,01","799.767 (-563.971,88)","11 Maret 2021, pukul 23:59"
12 Maret 2021,"1.718,06 (-906,43)","14.371,01 (-1.790,99)",24.690.257,"55,24","14.371,01","793.810 (-569.928,25)","12 Maret 2021, pukul 23:59"
13 Maret 2021,"1.728,16 (-896,33)","14.371,01 (-1.790,99)",24.835.405,"55,56","14.371,01","798.477 (-565.261,65)","13 Maret 2021, pukul 23:59"
14 Maret 2021,"1.728,16 (-896,33)","14.371,01 (-1.790,99)",24.835.405,"55,56","14.371,01","798.477 (-565.261,65)","14 Maret 2021, pukul 23:59"
15 Maret 2021,"1.729,56 (-894,93)","14.418,00 (-1.744,00)",24.936.796,"55,61","14.418,00","801.737 (-562.001,84)","15 Maret 2021, pukul 23:59"
16 Maret 2021,"1.730,89 (-893,60)","14.424,00 (-1.738,00)",24.966.357,"55,65","14.424,00","802.687 (-561.051,43)","16 Maret 2021, pukul 23:58"
17 Maret 2021,"1.727,78 (-896,71)","14.459,01 (-1.702,99)",24.981.988,"55,55","14.459,01","803.190 (-560.548,88)","17 Maret 2021, pukul 23:59"
18 Maret 2021,"1.731,75 (-892,74)","14.412,00 (-1.750,00)",24.957.981,"55,68","14.412,00","802.418 (-561.320,73)","18 Maret 2021, pukul 23:59"
19 Maret 2021,"1.741,07 (-883,42)","14.476,00 (-1.686,00)",25.203.729,"55,98","14.476,00","810.319 (-553.419,74)","19 Maret 2021, pukul 23:59"
20 Maret 2021,"1.745,31 (-879,18)","14.476,00 (-1.686,00)",25.265.108,"56,11","14.476,00","812.292 (-551.446,38)","20 Maret 2021, pukul 23:59"
21 Maret 2021,"1.745,31 (-879,18)","14.476,00 (-1.686,00)",25.265.108,"56,11","14.476,00","812.292 (-551.446,38)","21 Maret 2021, pukul 23:59"
22 Maret 2021,"1.739,40 (-885,09)","14.456,00 (-1.706,00)",25.144.766,"55,92","14.456,00","808.423 (-555.315,44)","22 Maret 2021, pukul 23:59"
23 Maret 2021,"1.726,55 (-897,94)","14.421,01 (-1.740,99)",24.898.595,"55,51","14.421,01","800.508 (-563.230,04)","23 Maret 2021, pukul 23:59"
24 Maret 2021,"1.734,69 (-889,80)","14.455,01 (-1.706,99)",25.074.961,"55,77","14.455,01","806.179 (-557.559,73)","24 Maret 2021, pukul 23:59"
25 Maret 2021,"1.728,60 (-895,89)","14.464,00 (-1.698,00)",25.002.470,"55,58","14.464,00","803.848 (-559.890,37)","25 Maret 2021, pukul 23:59"
26 Maret 2021,"1.733,03 (-891,46)","14.446,00 (-1.716,00)",25.035.351,"55,72","14.446,00","804.905 (-558.833,22)","26 Maret 2021, pukul 23:59"
27 Maret 2021,"1.732,63 (-891,86)","14.446,00 (-1.716,00)",25.029.573,"55,71","14.446,00","804.719 (-559.019,00)","27 Maret 2021, pukul 23:59"
28 Maret 2021,"1.732,63 (-891,86)","14.446,00 (-1.716,00)",25.029.573,"55,71","14.446,00","804.719 (-559.019,00)","28 Maret 2021, pukul 23:59"
29 Maret 2021,"1.715,16 (-909,33)","14.434,00 (-1.728,00)",24.756.619,"55,14","14.434,00","795.944 (-567.794,66)","29 Maret 2021, pukul 23:59"
30 Maret 2021,"1.685,20 (-939,29)","14.481,01 (-1.680,99)",24.403.398,"54,18","14.481,01","784.587 (-579.150,99)","30 Maret 2021, pukul 23:59"
31 Maret 2021,"1.711,73 (-912,76)","14.572,00 (-1.590,00)",24.943.330,"55,03","14.572,00","801.947 (-561.791,79)","31 Maret 2021, pukul 23:59"
01 April 2021,"1.725,52 (-898,97)","14.577,01 (-1.584,99)",25.152.922,"55,48","14.577,01","808.685 (-555.053,22)","01 April 2021, pukul 23:59"
02 April 2021,"1.730,59 (-893,90)","14.577,01 (-1.584,99)",25.226.828,"55,64","14.577,01","811.061 (-552.677,11)","02 April 2021, pukul 23:59"
03 April 2021,"1.730,59 (-893,90)","14.577,01 (-1.584,99)",25.226.828,"55,64","14.577,01","811.061 (-552.677,11)","03 April 2021, pukul 23:59"
04 April 2021,"1.730,59 (-893,90)","14.577,01 (-1.584,99)",25.226.828,"55,64","14.577,01","811.061 (-552.677,11)","04 April 2021, pukul 23:59"
05 April 2021,"1.728,31 (-896,18)","14.584,00 (-1.578,00)",25.205.673,"55,57","14.584,00","810.381 (-553.357,25)","05 April 2021, pukul 23:59"
06 April 2021,"1.743,53 (-880,96)","14.533,01 (-1.628,99)",25.338.739,"56,06","14.533,01","814.659 (-549.079,08)","06 April 2021, pukul 23:59"
07 April 2021,"1.740,14 (-884,35)","14.519,01 (-1.642,99)",25.265.110,"55,95","14.519,01","812.292 (-551.446,30)","07 April 2021, pukul 23:59"
08 April 2021,"1.756,62 (-867,87)","14.513,01 (-1.648,99)",25.493.844,"56,48","14.513,01","819.646 (-544.092,35)","08 April 2021, pukul 23:59"
09 April 2021,"1.745,05 (-879,44)","14.580,00 (-1.582,00)",25.442.829,"56,10","14.580,00","818.006 (-545.732,51)","09 April 2021, pukul 23:59"
10 April 2021,"1.744,20 (-880,29)","14.580,00 (-1.582,00)",25.430.436,"56,08","14.580,00","817.608 (-546.130,95)","10 April 2021, pukul 23:59"
11 April 2021,"1.744,20 (-880,29)","14.580,00 (-1.582,00)",25.430.436,"56,08","14.580,00","817.608 (-546.130,95)","11 April 2021, pukul 23:59"
12 April 2021,"1.732,44 (-892,05)","14.580,00 (-1.582,00)",25.258.975,"55,70","14.580,00","812.095 (-551.643,54)","12 April 2021, pukul 23:59"
13 April 2021,"1.742,66 (-881,83)","14.631,01 (-1.530,99)",25.496.876,"56,03","14.631,01","819.744 (-543.994,86)","13 April 2021, pukul 23:58"
14 April 2021,"1.736,81 (-887,68)","14.648,00 (-1.514,00)",25.440.793,"55,84","14.648,00","817.940 (-545.797,97)","14 April 2021, pukul 23:59"
15 April 2021,"1.767,36 (-857,13)","14.633,01 (-1.528,99)",25.861.797,"56,82","14.633,01","831.476 (-532.262,39)","15 April 2021, pukul 23:59"
16 April 2021,"1.778,75 (-845,74)","14.646,00 (-1.516,00)",26.051.573,"57,19","14.646,00","837.578 (-526.160,95)","16 April 2021, pukul 23:59"
17 April 2021,"1.777,29 (-847,20)","14.646,00 (-1.516,00)",26.030.189,"57,14","14.646,00","836.890 (-526.848,43)","17 April 2021, pukul 23:59"
18 April 2021,"1.777,29 (-847,20)","14.646,00 (-1.516,00)",26.030.189,"57,14","14.646,00","836.890 (-526.848,43)","18 April 2021, pukul 23:58"
19 April 2021,"1.771,79 (-852,70)","14.592,00 (-1.570,00)",25.853.960,"56,96","14.592,00","831.224 (-532.514,35)","19 April 2021, pukul 23:59"
20 April 2021,"1.777,96 (-846,53)","14.568,00 (-1.594,00)",25.901.321,"57,16","14.568,00","832.747 (-530.991,64)","20 April 2021, pukul 23:59"
21 April 2021,"1.791,26 (-833,23)","14.508,00 (-1.654,00)",25.987.600,"57,59","14.508,00","835.521 (-528.217,71)","21 April 2021, pukul 23:59"
22 April 2021,"1.781,30 (-843,19)","14.549,01 (-1.612,99)",25.916.152,"57,27","14.549,01","833.224 (-530.514,84)","22 April 2021, pukul 23:59"
23 April 2021,"1.777,78 (-846,71)","14.530,00 (-1.632,00)",25.831.143,"57,16","14.530,00","830.491 (-533.247,91)","23 April 2021, pukul 23:59"
24 April 2021,"1.777,11 (-847,38)","14.530,00 (-1.632,00)",25.821.408,"57,14","14.530,00","830.178 (-533.560,90)","24 April 2021, pukul 23:59"
25 April 2021,"1.777,11 (-847,38)","14.530,00 (-1.632,00)",25.821.408,"57,14","14.530,00","830.178 (-533.560,90)","25 April 2021, pukul 23:59"
26 April 2021,"1.779,86 (-844,63)","14.548,00 (-1.614,00)",25.893.403,"57,22","14.548,00","832.492 (-531.246,21)","26 April 2021, pukul 23:58"
27 April 2021,"1.778,54 (-845,95)","14.489,01 (-1.672,99)",25.769.284,"57,18","14.489,01","828.502 (-535.236,74)","27 April 2021, pukul 23:59"
28 April 2021,"1.775,08 (-849,41)","14.497,01 (-1.664,99)",25.733.353,"57,07","14.497,01","827.346 (-536.391,96)","28 April 2021, pukul 23:59"
29 April 2021,"1.768,76 (-855,73)","14.510,00 (-1.652,00)",25.664.708,"56,87","14.510,00","825.140 (-538.598,95)","29 April 2021, pukul 23:59"
30 April 2021,"1.767,08 (-857,41)","14.468,00 (-1.694,00)",25.566.113,"56,81","14.468,00","821.970 (-541.768,82)","30 April 2021, pukul 23:59"
01 Mei 2021,"1.768,91 (-855,58)","14.468,00 (-1.694,00)",25.592.590,"56,87","14.468,00","822.821 (-540.917,58)","01 Mei 2021, pukul 23:59"
02 Mei 2021,"1.768,91 (-855,58)","14.468,00 (-1.694,00)",25.592.590,"56,87","14.468,00","822.821 (-540.917,58)","02 Mei 2021, pukul 23:59"
03 Mei 2021,"1.792,33 (-832,16)","14.453,01 (-1.708,99)",25.904.563,"57,62","14.453,01","832.851 (-530.887,40)","03 Mei 2021, pukul 23:59"
04 Mei 2021,"1.776,76 (-847,73)","14.467,01 (-1.694,99)",25.704.405,"57,12","14.467,01","826.416 (-537.322,65)","04 Mei 2021, pukul 23:59"
05 Mei 2021,"1.784,48 (-840,01)","14.431,01 (-1.730,99)",25.751.849,"57,37","14.431,01","827.941 (-535.797,29)","05 Mei 2021, pukul 23:59"
06 Mei 2021,"1.815,64 (-808,85)","14.439,01 (-1.722,99)",26.216.044,"58,37","14.439,01","842.865 (-520.873,06)","06 Mei 2021, pukul 23:59"
07 Mei 2021,"1.831,48 (-793,01)","14.364,00 (-1.798,00)",26.307.379,"58,88","14.364,00","845.802 (-517.936,59)","07 Mei 2021, pukul 23:59"
08 Mei 2021,"1.831,43 (-793,06)","14.364,00 (-1.798,00)",26.306.661,"58,88","14.364,00","845.779 (-517.959,68)","08 Mei 2021, pukul 23:59"
09 Mei 2021,"1.831,43 (-793,06)","14.364,00 (-1.798,00)",26.306.661,"58,88","14.364,00","845.779 (-517.959,68)","09 Mei 2021, pukul 23:59"
10 Mei 2021,"1.837,74 (-786,75)","14.289,01 (-1.872,99)",26.259.485,"59,08","14.289,01","844.262 (-519.476,40)","10 Mei 2021, pukul 23:59"
11 Mei 2021,"1.835,36 (-789,13)","14.198,00 (-1.964,00)",26.058.441,"59,01","14.198,00","837.798 (-525.940,11)","11 Mei 2021, pukul 23:59"
12 Mei 2021,"1.820,78 (-803,71)","14.198,00 (-1.964,00)",25.851.434,"58,54","14.198,00","831.143 (-532.595,54)","12 Mei 2021, pukul 23:59"
13 Mei 2021,"1.826,01 (-798,48)","14.198,00 (-1.964,00)",25.925.690,"58,71","14.198,00","833.530 (-530.208,17)","13 Mei 2021, pukul 23:59"
14 Mei 2021,"1.839,10 (-785,39)","14.198,00 (-1.964,00)",26.111.542,"59,13","14.198,00","839.506 (-524.232,89)","14 Mei 2021, pukul 23:59"
15 Mei 2021,"1.843,91 (-780,58)","14.198,00 (-1.964,00)",26.179.834,"59,28","14.198,00","841.701 (-522.037,24)","15 Mei 2021, pukul 23:59"
16 Mei 2021,"1.843,91 (-780,58)","14.198,00 (-1.964,00)",26.179.834,"59,28","14.198,00","841.701 (-522.037,24)","16 Mei 2021, pukul 23:59"
17 Mei 2021,"1.867,94 (-756,55)","14.203,01 (-1.958,99)",26.530.370,"60,06","14.203,01","852.971 (-510.767,24)","17 Mei 2021, pukul 23:59"
18 Mei 2021,"1.867,14 (-757,35)","14.284,00 (-1.878,00)",26.670.228,"60,03","14.284,00","857.468 (-506.270,72)","18 Mei 2021, pukul 23:59"
19 Mei 2021,"1.881,03 (-743,46)","14.300,00 (-1.862,00)",26.898.729,"60,48","14.300,00","864.814 (-498.924,24)","19 Mei 2021, pukul 23:59"
20 Mei 2021,"1.883,00 (-741,49)","14.313,01 (-1.848,99)",26.951.398,"60,54","14.313,01","866.508 (-497.230,89)","20 Mei 2021, pukul 23:59"
21 Mei 2021,"1.871,97 (-752,52)","14.396,00 (-1.766,00)",26.948.880,"60,19","14.396,00","866.427 (-497.311,84)","21 Mei 2021, pukul 23:59"
22 Mei 2021,"1.881,96 (-742,53)","14.396,00 (-1.766,00)",27.092.696,"60,51","14.396,00","871.050 (-492.688,05)","22 Mei 2021, pukul 23:59"
23 Mei 2021,"1.881,96 (-742,53)","14.396,00 (-1.766,00)",27.092.696,"60,51","14.396,00","871.050 (-492.688,05)","23 Mei 2021, pukul 23:59"
24 Mei 2021,"1.883,82 (-740,67)","14.375,01 (-1.786,99)",27.079.931,"60,57","14.375,01","870.640 (-493.098,45)","24 Mei 2021, pukul 23:59"
25 Mei 2021,"1.894,93 (-729,56)","14.362,00 (-1.800,00)",27.214.985,"60,92","14.362,00","874.982 (-488.756,38)","25 Mei 2021, pukul 23:59"
26 Mei 2021,"1.902,81 (-721,68)","14.362,00 (-1.800,00)",27.328.157,"61,18","14.362,00","878.621 (-485.117,80)","26 Mei 2021, pukul 23:59"
27 Mei 2021,"1.891,51 (-732,98)","14.335,01 (-1.826,99)",27.114.815,"60,81","14.335,01","871.762 (-491.976,92)","27 Mei 2021, pukul 23:59"
28 Mei 2021,"1.899,21 (-725,28)","14.312,00 (-1.850,00)",27.181.494,"61,06","14.312,00","873.905 (-489.833,15)","28 Mei 2021, pukul 23:59"
29 Mei 2021,"1.904,30 (-720,19)","14.312,00 (-1.850,00)",27.254.342,"61,22","14.312,00","876.247 (-487.491,03)","29 Mei 2021, pukul 23:58"
30 Mei 2021,"1.904,30 (-720,19)","14.312,00 (-1.850,00)",27.254.342,"61,22","14.312,00","876.247 (-487.491,03)","30 Mei 2021, pukul 23:59"
31 Mei 2021,"1.906,51 (-717,98)","14.310,00 (-1.852,00)",27.282.158,"61,30","14.310,00","877.142 (-486.596,70)","31 Mei 2021, pukul 23:59"
01 Juni 2021,"1.903,48 (-721,01)","14.310,00 (-1.852,00)",27.238.799,"61,20","14.310,00","875.748 (-487.990,74)","01 Juni 2021, pukul 23:59"
02 Juni 2021,"1.906,56 (-717,93)","14.292,00 (-1.870,00)",27.248.556,"61,30","14.292,00","876.061 (-487.677,05)","02 Juni 2021, pukul 23:59"
03 Juni 2021,"1.870,54 (-753,95)","14.276,00 (-1.886,00)",26.703.829,"60,14","14.276,00","858.548 (-505.190,42)","03 Juni 2021, pukul 23:59"
04 Juni 2021,"1.889,32 (-735,17)","14.297,01 (-1.864,99)",27.011.627,"60,74","14.297,01","868.444 (-495.294,48)","04 Juni 2021, pukul 23:59"
05 Juni 2021,"1.891,24 (-733,25)","14.297,01 (-1.864,99)",27.039.077,"60,80","14.297,01","869.327 (-494.411,94)","05 Juni 2021, pukul 23:59"
06 Juni 2021,"1.891,24 (-733,25)","14.297,01 (-1.864,99)",27.039.077,"60,80","14.297,01","869.327 (-494.411,94)","06 Juni 2021, pukul 23:59"
07 Juni 2021,"1.895,57 (-728,92)","14.316,00 (-1.846,00)",27.136.980,"60,94","14.316,00","872.474 (-491.264,28)","07 Juni 2021, pukul 23:59"
08 Juni 2021,"1.892,70 (-731,79)","14.271,01 (-1.890,99)",27.010.741,"60,85","14.271,01","868.415 (-495.322,98)","08 Juni 2021, pukul 23:59"
09 Juni 2021,"1.890,78 (-733,71)","14.262,00 (-1.900,00)",26.966.304,"60,79","14.262,00","866.987 (-496.751,64)","09 Juni 2021, pukul 23:59"
10 Juni 2021,"1.893,50 (-730,99)","14.262,00 (-1.900,00)",27.005.097,"60,88","14.262,00","868.234 (-495.504,43)","10 Juni 2021, pukul 23:59"
11 Juni 2021,"1.879,23 (-745,26)","14.240,00 (-1.922,00)",26.760.235,"60,42","14.240,00","860.362 (-503.376,91)","11 Juni 2021, pukul 23:59"
12 Juni 2021,"1.876,87 (-747,62)","14.240,00 (-1.922,00)",26.726.629,"60,34","14.240,00","859.281 (-504.457,39)","12 Juni 2021, pukul 23:59"
13 Juni 2021,"1.876,87 (-747,62)","14.240,00 (-1.922,00)",26.726.629,"60,34","14.240,00","859.281 (-504.457,39)","13 Juni 2021, pukul 23:59"
14 Juni 2021,"1.864,26 (-760,23)","14.206,00 (-1.956,00)",26.483.678,"59,94","14.206,00","851.470 (-512.268,45)","14 Juni 2021, pukul 23:59"
15 Juni 2021,"1.852,23 (-772,26)","14.222,00 (-1.940,00)",26.342.415,"59,55","14.222,00","846.928 (-516.810,14)","15 Juni 2021, pukul 23:59"
16 Juni 2021,"1.859,27 (-765,22)","14.244,00 (-1.918,00)",26.483.442,"59,78","14.244,00","851.462 (-512.276,03)","16 Juni 2021, pukul 23:59"
17 Juni 2021,"1.772,06 (-852,43)","14.257,01 (-1.904,99)",25.264.277,"56,97","14.257,01","812.265 (-551.473,08)","17 Juni 2021, pukul 23:59"
18 Juni 2021,"1.773,00 (-851,49)","14.378,00 (-1.784,00)",25.492.194,"57,00","14.378,00","819.593 (-544.145,39)","18 Juni 2021, pukul 23:58"
19 Juni 2021,"1.764,31 (-860,18)","14.378,00 (-1.784,00)",25.367.249,"56,72","14.378,00","815.576 (-548.162,46)","19 Juni 2021, pukul 23:59"
20 Juni 2021,"1.764,31 (-860,18)","14.378,00 (-1.784,00)",25.367.249,"56,72","14.378,00","815.576 (-548.162,46)","20 Juni 2021, pukul 23:59"
21 Juni 2021,"1.783,33 (-841,16)","14.403,01 (-1.758,99)",25.685.320,"57,34","14.403,01","825.802 (-537.936,25)","21 Juni 2021, pukul 23:59"
22 Juni 2021,"1.778,01 (-846,48)","14.453,01 (-1.708,99)",25.697.596,"57,16","14.453,01","826.197 (-537.541,55)","22 Juni 2021, pukul 23:59"
23 Juni 2021,"1.783,34 (-841,15)","14.421,01 (-1.740,99)",25.717.564,"57,34","14.421,01","826.839 (-536.899,57)","23 Juni 2021, pukul 23:59"
24 Juni 2021,"1.777,13 (-847,36)","14.454,00 (-1.708,00)",25.686.637,"57,14","14.454,00","825.845 (-537.893,90)","24 Juni 2021, pukul 23:59"
25 Juni 2021,"1.778,04 (-846,45)","14.462,00 (-1.700,00)",25.714.014,"57,17","14.462,00","826.725 (-537.013,69)","25 Juni 2021, pukul 23:59"
26 Juni 2021,"1.781,29 (-843,20)","14.462,00 (-1.700,00)",25.761.016,"57,27","14.462,00","828.236 (-535.502,56)","26 Juni 2021, pukul 23:59"
27 Juni 2021,"1.781,29 (-843,20)","14.462,00 (-1.700,00)",25.761.016,"57,27","14.462,00","828.236 (-535.502,56)","27 Juni 2021, pukul 23:59"
28 Juni 2021,"1.779,89 (-844,60)","14.447,01 (-1.714,99)",25.714.089,"57,22","14.447,01","826.727 (-537.011,31)","28 Juni 2021, pukul 23:59"
29 Juni 2021,"1.763,37 (-861,12)","14.472,00 (-1.690,00)",25.519.491,"56,69","14.472,00","820.471 (-543.267,78)","29 Juni 2021, pukul 23:59"
30 Juni 2021,"1.773,66 (-850,83)","14.496,00 (-1.666,00)",25.710.975,"57,02","14.496,00","826.627 (-537.111,40)","30 Juni 2021, pukul 23:59"
01 Juli 2021,"1.771,82 (-852,67)","14.542,00 (-1.620,00)",25.765.806,"56,97","14.542,00","828.390 (-535.348,54)","01 Juli 2021, pukul 23:59"
02 Juli 2021,"1.781,70 (-842,79)","14.539,01 (-1.622,99)",25.904.154,"57,28","14.539,01","832.838 (-530.900,56)","02 Juli 2021, pukul 23:59"
03 Juli 2021,"1.787,53 (-836,96)","14.539,01 (-1.622,99)",25.988.917,"57,47","14.539,01","835.563 (-528.175,39)","03 Juli 2021, pukul 23:59"
04 Juli 2021,"1.787,53 (-836,96)","14.539,01 (-1.622,99)",25.988.917,"57,47","14.539,01","835.563 (-528.175,39)","04 Juli 2021, pukul 23:59"
05 Juli 2021,"1.791,95 (-832,54)","14.564,00 (-1.598,00)",26.097.960,"57,61","14.564,00","839.069 (-524.669,56)","05 Juli 2021, pukul 23:59"
06 Juli 2021,"1.792,95 (-831,54)","14.482,00 (-1.680,00)",25.965.502,"57,64","14.482,00","834.810 (-528.928,18)","06 Juli 2021, pukul 23:59"
07 Juli 2021,"1.802,32 (-822,17)","14.468,00 (-1.694,00)",26.075.966,"57,95","14.468,00","838.362 (-525.376,69)","07 Juli 2021, pukul 23:59"
08 Juli 2021,"1.797,91 (-826,58)","14.500,00 (-1.662,00)",26.069.695,"57,80","14.500,00","838.160 (-525.578,30)","08 Juli 2021, pukul 23:59"
09 Juli 2021,"1.810,49 (-814,00)","14.548,00 (-1.614,00)",26.339.009,"58,21","14.548,00","846.819 (-516.919,67)","09 Juli 2021, pukul 23:59"
10 Juli 2021,"1.808,54 (-815,95)","14.548,00 (-1.614,00)",26.310.640,"58,15","14.548,00","845.907 (-517.831,74)","10 Juli 2021, pukul 23:59"
11 Juli 2021,"1.808,54 (-815,95)","14.548,00 (-1.614,00)",26.310.640,"58,15","14.548,00","845.907 (-517.831,74)","11 Juli 2021, pukul 23:59"
12 Juli 2021,"1.805,24 (-819,25)","14.548,00 (-1.614,00)",26.262.632,"58,04","14.548,00","844.363 (-519.375,24)","12 Juli 2021, pukul 23:59"
13 Juli 2021,"1.811,58 (-812,91)","14.486,00 (-1.676,00)",26.242.548,"58,24","14.486,00","843.718 (-520.020,95)","13 Juli 2021, pukul 23:59"
14 Juli 2021,"1.822,12 (-802,37)","14.486,00 (-1.676,00)",26.395.230,"58,58","14.486,00","848.626 (-515.112,09)","14 Juli 2021, pukul 23:59"
15 Juli 2021,"1.826,70 (-797,79)","14.493,01 (-1.668,99)",26.474.381,"58,73","14.493,01","851.171 (-512.567,33)","15 Juli 2021, pukul 23:59"
16 Juli 2021,"1.816,08 (-808,41)","14.503,01 (-1.658,99)",26.338.626,"58,39","14.503,01","846.807 (-516.931,95)","16 Juli 2021, pukul 23:59"
17 Juli 2021,"1.812,36 (-812,13)","14.503,01 (-1.658,99)",26.284.675,"58,27","14.503,01","845.072 (-518.666,52)","17 Juli 2021, pukul 23:59"
18 Juli 2021,"1.812,36 (-812,13)","14.503,01 (-1.658,99)",26.284.675,"58,27","14.503,01","845.072 (-518.666,52)","18 Juli 2021, pukul 23:59"
19 Juli 2021,"1.808,45 (-816,04)","14.517,01 (-1.644,99)",26.253.287,"58,14","14.517,01","844.063 (-519.675,69)","19 Juli 2021, pukul 23:59"
20 Juli 2021,"1.810,59 (-813,90)","14.517,01 (-1.644,99)",26.284.353,"58,21","14.517,01","845.062 (-518.676,88)","20 Juli 2021, pukul 23:59"
21 Juli 2021,"1.803,12 (-821,37)","14.524,00 (-1.638,00)",26.188.515,"57,97","14.524,00","841.980 (-521.758,15)","21 Juli 2021, pukul 23:59"
22 Juli 2021,"1.805,00 (-819,49)","14.554,00 (-1.608,00)",26.269.970,"58,03","14.554,00","844.599 (-519.139,31)","22 Juli 2021, pukul 23:59"
23 Juli 2021,"1.802,43 (-822,06)","14.508,00 (-1.654,00)",26.149.654,"57,95","14.508,00","840.731 (-523.007,54)","23 Juli 2021, pukul 23:59"
24 Juli 2021,"1.802,30 (-822,19)","14.508,00 (-1.654,00)",26.147.768,"57,95","14.508,00","840.670 (-523.068,18)","24 Juli 2021, pukul 23:59"
25 Juli 2021,"1.802,30 (-822,19)","14.508,00 (-1.654,00)",26.147.768,"57,95","14.508,00","840.670 (-523.068,18)","25 Juli 2021, pukul 23:59"
26 Juli 2021,"1.799,14 (-825,35)","14.501,01 (-1.660,99)",26.089.347,"57,84","14.501,01","838.792 (-524.946,47)","26 Juli 2021, pukul 23:59"
27 Juli 2021,"1.800,62 (-823,87)","14.494,00 (-1.668,00)",26.098.186,"57,89","14.494,00","839.076 (-524.662,28)","27 Juli 2021, pukul 23:59"
28 Juli 2021,"1.801,73 (-822,76)","14.489,01 (-1.672,99)",26.105.284,"57,93","14.489,01","839.304 (-524.434,09)","28 Juli 2021, pukul 23:59"
29 Juli 2021,"1.830,86 (-793,63)","14.498,00 (-1.664,00)",26.543.808,"58,86","14.498,00","853.403 (-510.335,20)","29 Juli 2021, pukul 23:59"
30 Juli 2021,"1.816,04 (-808,45)","14.491,01 (-1.670,99)",26.316.254,"58,39","14.491,01","846.087 (-517.651,25)","30 Juli 2021, pukul 23:59"
31 Juli 2021,"1.813,62 (-810,87)","14.491,01 (-1.670,99)",26.281.186,"58,31","14.491,01","844.960 (-518.778,72)","31 Juli 2021, pukul 23:59"
01 Agustus 2021,"1.813,62 (-810,87)","14.491,01 (-1.670,99)",26.281.186,"58,31","14.491,01","844.960 (-518.778,72)","01 Agustus 2021, pukul 23:59"
