"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"03/01/2024","5,33","5,33","5,33","5,33","","0,00%"
"02/01/2024","5,33","5,33","5,33","5,33","","0,00%"
"29/12/2023","5,33","5,33","5,33","5,33","","0,00%"
"28/12/2023","5,33","5,33","5,33","5,33","","0,00%"
"27/12/2023","5,33","5,33","5,33","5,33","","0,00%"
"26/12/2023","5,33","5,33","5,33","5,33","","0,00%"
"22/12/2023","5,33","5,33","5,33","5,33","","0,00%"
"21/12/2023","5,33","5,33","5,33","5,33","","0,00%"
"20/12/2023","5,33","5,33","5,33","5,33","","0,00%"
"19/12/2023","5,33","5,33","5,33","5,33","","0,00%"
"18/12/2023","5,33","5,33","5,33","5,33","","0,00%"
"15/12/2023","5,33","5,33","5,33","5,33","","0,00%"
"14/12/2023","5,33","5,33","5,33","5,33","","0,00%"
"13/12/2023","5,33","5,33","5,33","5,33","","0,00%"
"12/12/2023","5,33","5,33","5,33","5,33","","0,00%"
"11/12/2023","5,33","5,33","5,33","5,33","","0,00%"
"08/12/2023","5,33","5,33","5,33","5,33","","0,00%"
"07/12/2023","5,33","5,33","5,33","5,33","","0,00%"
"06/12/2023","5,33","5,33","5,33","5,33","","0,00%"
"05/12/2023","5,33","5,33","5,33","5,33","","0,00%"
"04/12/2023","5,33","5,33","5,33","5,33","","0,00%"
"01/12/2023","5,33","5,33","5,33","5,33","","0,00%"
"30/11/2023","5,33","5,33","5,33","5,33","","0,00%"
"29/11/2023","5,33","5,33","5,33","5,33","","0,00%"
"28/11/2023","5,33","5,33","5,33","5,33","","0,00%"
"27/11/2023","5,33","5,33","5,33","5,33","","0,00%"
"24/11/2023","5,33","5,33","5,33","5,33","","0,00%"
"22/11/2023","5,33","5,33","5,33","5,33","","0,00%"
"21/11/2023","5,33","5,33","5,33","5,33","","0,00%"
"20/11/2023","5,33","5,33","5,33","5,33","","0,00%"
"17/11/2023","5,33","5,33","5,33","5,33","","0,00%"
"16/11/2023","5,33","5,33","5,33","5,33","","0,00%"
"15/11/2023","5,33","5,33","5,33","5,33","","0,00%"
"14/11/2023","5,33","5,33","5,33","5,33","","0,00%"
"13/11/2023","5,33","5,33","5,33","5,33","","0,00%"
"10/11/2023","5,33","5,33","5,33","5,33","","0,00%"
"09/11/2023","5,33","5,33","5,33","5,33","","0,00%"
"08/11/2023","5,33","5,33","5,33","5,33","","0,00%"
"07/11/2023","5,33","5,33","5,33","5,33","","0,00%"
"06/11/2023","5,33","5,33","5,33","5,33","","0,00%"
"03/11/2023","5,33","5,33","5,33","5,33","","0,00%"
"02/11/2023","5,33","5,33","5,33","5,33","","0,00%"
"01/11/2023","5,33","5,33","5,33","5,33","","0,00%"
"31/10/2023","5,33","5,33","5,33","5,33","","0,00%"
"30/10/2023","5,33","5,33","5,33","5,33","","0,00%"
"27/10/2023","5,33","5,33","5,33","5,33","","0,00%"
"26/10/2023","5,33","5,33","5,33","5,33","","0,00%"
"25/10/2023","5,33","5,33","5,33","5,33","","0,00%"
"24/10/2023","5,33","5,33","5,33","5,33","","0,00%"
"23/10/2023","5,33","5,33","5,33","5,33","","0,00%"
"20/10/2023","5,33","5,33","5,33","5,33","","0,00%"
"19/10/2023","5,33","5,33","5,33","5,33","","0,00%"
"18/10/2023","5,33","5,33","5,33","5,33","","0,00%"
"17/10/2023","5,33","5,33","5,33","5,33","","0,00%"
"16/10/2023","5,33","5,33","5,33","5,33","","0,00%"
"13/10/2023","5,33","5,33","5,33","5,33","","0,00%"
"12/10/2023","5,33","5,33","5,33","5,33","","0,00%"
"11/10/2023","5,33","5,33","5,33","5,33","","0,00%"
"10/10/2023","5,33","5,33","5,33","5,33","","0,00%"
"06/10/2023","5,33","5,33","5,33","5,33","","0,00%"
"05/10/2023","5,33","5,33","5,33","5,33","","0,00%"
"04/10/2023","5,33","5,33","5,33","5,33","","0,00%"
"03/10/2023","5,33","5,33","5,33","5,33","","0,00%"
"02/10/2023","5,33","5,33","5,33","5,33","","0,00%"
"29/09/2023","5,33","5,33","5,33","5,33","","0,00%"
"28/09/2023","5,33","5,33","5,33","5,33","","0,00%"
"27/09/2023","5,33","5,33","5,33","5,33","","0,00%"
"26/09/2023","5,33","5,33","5,33","5,33","","0,00%"
"25/09/2023","5,33","5,33","5,33","5,33","","0,00%"
"22/09/2023","5,33","5,33","5,33","5,33","","0,00%"
"21/09/2023","5,33","5,33","5,33","5,33","","0,00%"
"20/09/2023","5,33","5,33","5,33","5,33","","0,00%"
"19/09/2023","5,33","5,33","5,33","5,33","","0,00%"
"18/09/2023","5,33","5,33","5,33","5,33","","0,00%"
"15/09/2023","5,33","5,33","5,33","5,33","","0,00%"
"14/09/2023","5,33","5,33","5,33","5,33","","0,00%"
"13/09/2023","5,33","5,33","5,33","5,33","","0,00%"
"12/09/2023","5,33","5,33","5,33","5,33","","0,00%"
"11/09/2023","5,33","5,33","5,33","5,33","","0,00%"
"08/09/2023","5,33","5,33","5,33","5,33","","0,00%"
"07/09/2023","5,33","5,33","5,33","5,33","","0,00%"
"06/09/2023","5,33","5,33","5,33","5,33","","0,00%"
"05/09/2023","5,33","5,33","5,33","5,33","","0,00%"
"01/09/2023","5,33","5,33","5,33","5,33","","0,00%"
"31/08/2023","5,33","5,33","5,33","5,33","","0,00%"
"30/08/2023","5,33","5,33","5,33","5,33","","0,00%"
"29/08/2023","5,33","5,33","5,33","5,33","","0,00%"
"28/08/2023","5,33","5,33","5,33","5,33","","0,00%"
"25/08/2023","5,33","5,33","5,33","5,33","","0,00%"
"24/08/2023","5,33","5,33","5,33","5,33","","0,00%"
"23/08/2023","5,33","5,33","5,33","5,33","","0,00%"
"22/08/2023","5,33","5,33","5,33","5,33","","0,00%"
"21/08/2023","5,33","5,33","5,33","5,33","","0,00%"
"18/08/2023","5,33","5,33","5,33","5,33","","0,00%"
"17/08/2023","5,33","5,33","5,33","5,33","","0,00%"
"16/08/2023","5,33","5,33","5,33","5,33","","0,00%"
"15/08/2023","5,33","5,33","5,33","5,33","","0,00%"
"14/08/2023","5,33","5,33","5,33","5,33","","0,00%"
"11/08/2023","5,33","5,33","5,33","5,33","","0,00%"
"10/08/2023","5,33","5,33","5,33","5,33","","0,00%"
"09/08/2023","5,33","5,33","5,33","5,33","","0,00%"
"08/08/2023","5,33","5,33","5,33","5,33","","0,00%"
"07/08/2023","5,33","5,33","5,33","5,33","","0,00%"
"04/08/2023","5,33","5,33","5,33","5,33","","0,00%"
"03/08/2023","5,33","5,33","5,33","5,33","","0,00%"
"02/08/2023","5,33","5,33","5,33","5,33","","0,00%"
"01/08/2023","5,33","5,33","5,33","5,33","","0,00%"
"31/07/2023","5,33","5,33","5,33","5,33","","0,00%"
"28/07/2023","5,33","5,33","5,33","5,33","","0,00%"
"27/07/2023","5,33","5,33","5,33","5,33","","4,92%"
"26/07/2023","5,08","5,08","5,08","5,08","","0,00%"
"25/07/2023","5,08","5,08","5,08","5,08","","0,00%"
