"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"29/11/2024","7.114,27","7.168,00","7.189,13","7.107,28","21,84B","-1,19%"
"28/11/2024","7.200,16","7.215,91","7.249,69","7.195,67","17,90B","-0,63%"
"26/11/2024","7.245,89","7.329,53","7.341,60","7.245,89","16,41B","-0,93%"
"25/11/2024","7.314,11","7.218,95","7.329,49","7.218,83","26,48B","1,65%"
"22/11/2024","7.195,56","7.154,68","7.215,69","7.154,45","20,58B","0,77%"
"21/11/2024","7.140,91","7.168,33","7.209,36","7.140,91","15,57B","-0,55%"
"20/11/2024","7.180,33","7.214,00","7.229,71","7.171,27","16,41B","-0,21%"
"19/11/2024","7.195,71","7.140,19","7.229,83","7.136,69","20,51B","0,86%"
"18/11/2024","7.134,28","7.152,08","7.174,75","7.118,87","19,17B","-0,38%"
"15/11/2024","7.161,26","7.192,21","7.241,66","7.122,68","21,31B","-0,74%"
"14/11/2024","7.214,56","7.303,90","7.318,78","7.214,56","20,94B","-1,29%"
"13/11/2024","7.308,67","7.344,01","7.370,39","7.304,87","22,63B","-0,18%"
"12/11/2024","7.321,99","7.271,17","7.344,07","7.268,61","28,77B","0,76%"
"11/11/2024","7.266,46","7.259,29","7.282,20","7.182,31","22,10B","-0,28%"
"08/11/2024","7.287,19","7.263,96","7.350,36","7.263,96","14,89B","0,60%"
"07/11/2024","7.243,86","7.373,57","7.381,76","7.243,86","20,41B","-1,90%"
"06/11/2024","7.383,87","7.495,13","7.506,60","7.363,03","23,58B","-1,44%"
"05/11/2024","7.491,93","7.474,45","7.497,00","7.451,55","18,27B","0,17%"
"04/11/2024","7.479,50","7.505,11","7.529,70","7.415,81","21,23B","-0,34%"
"01/11/2024","7.505,26","7.573,79","7.583,69","7.485,46","15,53B","-0,91%"
"31/10/2024","7.574,02","7.569,72","7.617,36","7.558,68","20,33B","0,06%"
"30/10/2024","7.569,85","7.558,80","7.581,91","7.521,73","16,82B","-0,48%"
"29/10/2024","7.606,60","7.625,47","7.666,43","7.587,21","18,28B","-0,37%"
"28/10/2024","7.634,63","7.705,87","7.714,74","7.599,62","19,72B","-0,78%"
"25/10/2024","7.694,66","7.717,43","7.752,25","7.678,18","20,58B","-0,28%"
"24/10/2024","7.716,55","7.778,66","7.794,86","7.716,55","24,29B","-0,91%"
"23/10/2024","7.787,56","7.774,01","7.805,92","7.761,25","26,97B","-0,02%"
"22/10/2024","7.788,98","7.752,38","7.801,40","7.731,96","28,68B","0,21%"
"21/10/2024","7.772,60","7.780,25","7.795,09","7.739,89","24,69B","0,16%"
"18/10/2024","7.760,06","7.762,15","7.790,71","7.718,68","23,43B","0,32%"
"17/10/2024","7.735,04","7.661,07","7.758,67","7.657,72","22,46B","1,13%"
"16/10/2024","7.648,94","7.645,21","7.658,40","7.616,60","19,74B","0,29%"
"15/10/2024","7.626,95","7.579,05","7.635,04","7.573,45","21,87B","0,89%"
"14/10/2024","7.559,65","7.518,81","7.570,27","7.518,81","20,59B","0,52%"
"11/10/2024","7.520,60","7.520,53","7.549,54","7.506,28","15,95B","0,54%"
"10/10/2024","7.480,08","7.501,87","7.528,95","7.467,82","15,80B","-0,28%"
"09/10/2024","7.501,29","7.556,56","7.595,58","7.501,22","16,92B","-0,74%"
"08/10/2024","7.557,14","7.486,72","7.592,88","7.449,48","19,48B","0,71%"
"07/10/2024","7.504,13","7.493,66","7.540,24","7.450,20","23,58B","0,11%"
"04/10/2024","7.496,09","7.531,79","7.549,23","7.467,80","22,39B","-0,63%"
"03/10/2024","7.543,83","7.567,45","7.581,33","7.504,41","18,94B","-0,26%"
"02/10/2024","7.563,26","7.601,74","7.619,10","7.501,46","31,53B","-1,03%"
"01/10/2024","7.642,13","7.551,46","7.642,13","7.547,11","20,70B","1,52%"
"30/09/2024","7.527,93","7.674,29","7.679,24","7.527,93","22,22B","-2,20%"
"27/09/2024","7.696,92","7.713,80","7.736,92","7.663,48","19,05B","-0,61%"
"26/09/2024","7.744,52","7.723,10","7.763,08","7.673,05","20,28B","0,05%"
"25/09/2024","7.740,90","7.747,85","7.760,88","7.633,45","27,67B","-0,48%"
"24/09/2024","7.778,49","7.774,56","7.810,54","7.717,84","18,28B","0,04%"
"23/09/2024","7.775,73","7.743,20","7.775,73","7.675,29","26,02B","0,42%"
"20/09/2024","7.743,00","7.904,40","7.904,51","7.738,32","31,77B","-2,05%"
"19/09/2024","7.905,39","7.858,11","7.910,56","7.853,35","25,95B","0,97%"
"18/09/2024","7.829,13","7.845,81","7.879,04","7.818,96","24,18B","-0,03%"
"17/09/2024","7.831,78","7.832,52","7.854,02","7.802,27","21,61B","0,25%"
"13/09/2024","7.812,13","7.805,69","7.828,97","7.775,64","16,25B","0,18%"
"12/09/2024","7.798,15","7.782,02","7.833,27","7.782,02","25,27B","0,48%"
"11/09/2024","7.760,96","7.770,27","7.802,48","7.736,78","17,19B","-0,01%"
"10/09/2024","7.761,39","7.725,28","7.764,78","7.723,30","19,65B","0,76%"
"09/09/2024","7.702,74","7.729,25","7.748,33","7.654,73","13,85B","-0,25%"
"06/09/2024","7.721,85","7.684,81","7.754,48","7.683,70","12,27B","0,53%"
"05/09/2024","7.681,04","7.679,65","7.722,23","7.650,80","13,77B","0,11%"
"04/09/2024","7.672,90","7.577,10","7.672,90","7.546,05","14,76B","0,74%"
"03/09/2024","7.616,52","7.706,65","7.726,66","7.598,47","16,57B","-1,01%"
"02/09/2024","7.694,53","7.686,54","7.726,19","7.669,92","15,62B","0,31%"
"30/08/2024","7.670,73","7.642,78","7.673,18","7.616,35","19,45B","0,57%"
"29/08/2024","7.627,60","7.679,53","7.715,76","7.627,60","15,39B","-0,41%"
"28/08/2024","7.658,88","7.604,33","7.672,29","7.581,05","15,20B","0,80%"
"27/08/2024","7.597,88","7.598,46","7.610,20","7.547,26","14,12B","-0,11%"
"26/08/2024","7.606,19","7.549,41","7.619,90","7.549,41","14,21B","0,82%"
"23/08/2024","7.544,30","7.510,66","7.567,51","7.507,74","12,88B","0,74%"
"22/08/2024","7.488,68","7.531,35","7.540,27","7.460,40","14,07B","-0,87%"
"21/08/2024","7.554,59","7.563,08","7.594,55","7.543,64","19,99B","0,27%"
"20/08/2024","7.533,98","7.490,32","7.538,16","7.482,50","18,36B","0,90%"
"19/08/2024","7.466,83","7.428,74","7.466,83","7.420,38","13,87B","0,47%"
"16/08/2024","7.432,09","7.443,94","7.459,75","7.417,21","15,13B","0,30%"
"15/08/2024","7.409,50","7.442,91","7.460,39","7.386,74","15,04B","-0,36%"
"14/08/2024","7.436,04","7.377,01","7.445,66","7.372,89","16,81B","1,08%"
"13/08/2024","7.356,64","7.316,43","7.366,65","7.286,55","14,61B","0,81%"
"12/08/2024","7.297,63","7.265,15","7.297,63","7.230,79","15,64B","0,56%"
"09/08/2024","7.257,00","7.219,98","7.267,42","7.219,92","11,27B","0,86%"
"08/08/2024","7.195,12","7.212,74","7.234,45","7.181,77","12,52B","-0,24%"
"07/08/2024","7.212,13","7.149,51","7.246,26","7.147,29","12,86B","1,16%"
"06/08/2024","7.129,21","7.098,67","7.167,26","7.066,50","12,25B","0,99%"
"05/08/2024","7.059,65","7.254,61","7.257,48","6.998,81","19,60B","-3,40%"
"02/08/2024","7.308,12","7.304,09","7.337,98","7.264,01","13,07B","-0,24%"
"01/08/2024","7.325,98","7.274,52","7.325,98","7.258,87","11,90B","0,97%"
"31/07/2024","7.255,76","7.251,80","7.275,19","7.226,50","14,05B","0,19%"
"30/07/2024","7.241,86","7.283,92","7.292,56","7.226,78","12,41B","-0,65%"
"29/07/2024","7.288,90","7.304,60","7.333,90","7.274,25","13,19B","0,01%"
"26/07/2024","7.288,17","7.262,13","7.298,96","7.256,53","12,87B","0,66%"
"25/07/2024","7.240,28","7.264,21","7.268,05","7.207,82","12,59B","-0,31%"
"24/07/2024","7.262,76","7.298,51","7.311,15","7.249,28","14,93B","-0,70%"
"23/07/2024","7.313,86","7.336,28","7.347,02","7.293,31","25,17B","-0,11%"
"22/07/2024","7.321,98","7.316,25","7.341,91","7.301,42","14,09B","0,38%"
"19/07/2024","7.294,50","7.304,28","7.315,14","7.249,82","12,53B","-0,36%"
"18/07/2024","7.321,07","7.231,73","7.330,81","7.220,10","14,62B","1,34%"
"17/07/2024","7.224,22","7.261,22","7.265,09","7.207,58","21,82B","0,00%"
"16/07/2024","7.224,29","7.289,81","7.294,79","7.213,28","10,79B","-0,75%"
"15/07/2024","7.278,86","7.336,31","7.346,10","7.252,81","10,74B","-0,66%"
"12/07/2024","7.327,58","7.336,48","7.354,16","7.300,75","13,07B","0,37%"
"11/07/2024","7.300,41","7.302,50","7.328,27","7.274,06","14,64B","0,18%"
"10/07/2024","7.287,04","7.283,19","7.313,20","7.272,12","21,43B","0,24%"
"09/07/2024","7.269,80","7.254,16","7.302,94","7.239,64","13,61B","0,26%"
"08/07/2024","7.250,98","7.261,98","7.265,08","7.215,47","16,01B","-0,03%"
"05/07/2024","7.253,37","7.248,72","7.275,94","7.213,39","13,09B","0,45%"
