tanggal,close_index,open_index,high_index,low_index,volume_billion,change_percent
2021-11-22,6723.39,6731.52,6754.46,6690.82,21810000000.0,0.05
2021-11-19,6720.26,6651.78,6720.99,6651.78,25880000000.0,1.26
2021-11-18,6636.47,6653.7,6669.79,6621.69,24800000000.0,-0.59
2021-11-17,6675.8,6667.86,6679.3,6650.49,21720000000.0,0.37
2021-11-16,6651.21,6598.41,6654.52,6592.23,20700000000.0,0.53
2021-11-15,6616.03,6661.85,6675.6,6610.82,20330000000.0,-0.53
2021-11-12,6651.05,6710.85,6714.16,6646.32,19860000000.0,-0.6
2021-11-11,6691.34,6694.58,6704.46,6671.23,20920000000.0,0.12
2021-11-10,6683.15,6665.55,6683.15,6651.8,15340000000.0,0.2
2021-11-09,6669.93,6640.22,6669.93,6633.21,19240000000.0,0.57
2021-11-08,6632.3,6599.4,6637.01,6592.06,16739999999.999998,0.77
2021-11-05,6581.78,6600.72,6608.43,6550.12,15410000000.0,-0.07
2021-11-04,6586.44,6588.19,6617.86,6583.17,15530000000.0,0.52
2021-11-03,6552.13,6497.86,6561.81,6485.25,17160000000.0,0.91
2021-11-02,6493.27,6557.94,6573.69,6480.01,16530000000.000002,-0.91
2021-11-01,6552.89,6618.12,6627.85,6552.89,18250000000.0,-0.58
2021-10-29,6591.35,6561.71,6596.77,6551.54,17149999999.999998,1.03
2021-10-28,6524.08,6578.58,6600.25,6509.88,18930000000.0,-1.18
2021-10-27,6602.21,6664.37,6670.81,6590.51,18250000000.0,-0.82
2021-10-26,6656.94,6640.05,6680.12,6638.03,18020000000.0,0.47
2021-10-25,6625.7,6626.37,6673.52,6625.7,17560000000.0,-0.27
2021-10-22,6643.74,6620.66,6655.44,6585.56,16579999999.999998,0.16
2021-10-21,6632.97,6670.27,6687.13,6602.07,21510000000.0,-0.35
2021-10-19,6656.0,6665.72,6677.6,6613.89,18850000000.0,-0.04
2021-10-18,6658.77,6649.28,6684.82,6620.85,18860000000.0,0.38
2021-10-15,6633.34,6645.26,6680.01,6573.34,16010000000.000002,0.11
2021-10-14,6626.11,6552.21,6637.4,6552.21,17820000000.0,1.36
2021-10-13,6536.9,6502.16,6600.52,6492.66,19350000000.0,0.78
2021-10-12,6486.27,6462.31,6504.01,6460.09,20460000000.0,0.41
2021-10-11,6459.7,6482.96,6506.09,6451.68,20480000000.0,-0.34
2021-10-08,6481.77,6440.0,6497.66,6436.52,23130000000.0,1.02
2021-10-07,6416.4,6414.91,6458.64,6392.73,18320000000.0,-0.01
2021-10-06,6417.32,6313.65,6441.5,6307.11,23140000000.0,2.06
2021-10-05,6288.05,6337.33,6361.45,6277.7,26830000000.0,-0.86
2021-10-04,6342.69,6234.8,6342.69,6234.8,25790000000.0,1.83
2021-10-01,6228.85,6269.24,6272.06,6202.91,19030000000.0,-0.92
2021-09-30,6286.94,6175.42,6286.94,6174.18,20270000000.0,2.02
2021-09-29,6162.55,6100.83,6162.55,6086.26,23070000000.0,0.81
2021-09-28,6113.11,6128.06,6137.95,6097.72,27260000000.0,-0.15
2021-09-27,6122.49,6141.47,6163.28,6109.67,20660000000.0,-0.36
2021-09-24,6144.81,6142.29,6163.88,6119.14,19630000000.0,0.03
2021-09-23,6142.71,6117.64,6148.15,6117.58,21330000000.0,0.56
2021-09-22,6108.27,6060.31,6123.74,6059.63,18430000000.0,0.78
2021-09-21,6060.76,6049.79,6068.79,5996.41,17960000000.0,-0.26
2021-09-20,6076.31,6132.03,6133.17,6053.93,17660000000.0,-0.93
2021-09-17,6133.25,6098.88,6133.25,6086.08,22470000000.0,0.38
2021-09-16,6109.94,6126.56,6137.67,6098.88,21890000000.0,0.0
2021-09-15,6110.23,6123.91,6125.33,6100.0,18870000000.0,-0.31
2021-09-14,6129.1,6100.63,6130.86,6099.16,20170000000.0,0.67
2021-09-13,6088.16,6080.06,6094.99,6052.97,15890000000.0,-0.11
2021-09-10,6094.87,6059.15,6102.83,6047.61,19290000000.0,0.44
2021-09-09,6068.22,6024.32,6072.64,5982.77,21470000000.0,0.7
2021-09-08,6026.02,6114.48,6123.76,6001.58,19640000000.0,-1.41
2021-09-07,6112.4,6135.87,6145.49,6100.94,18070000000.0,-0.24
2021-09-06,6126.94,6137.13,6150.36,6100.93,17390000000.0,0.0
2021-09-03,6126.92,6085.63,6126.92,6056.19,17149999999.999998,0.8
2021-09-02,6078.23,6092.65,6110.05,6054.28,17940000000.0,-0.21
2021-09-01,6090.93,6157.82,6169.06,6089.23,19460000000.0,-0.97
2021-08-31,6150.3,6148.77,6158.07,6117.5,18910000000.0,0.09
2021-08-30,6144.9,6062.11,6144.9,6062.11,15930000000.0,1.71
2021-08-27,6041.37,6052.83,6066.49,6021.95,15700000000.0,-0.28
2021-08-26,6058.08,6107.04,6119.66,6034.05,17300000000.0,-0.9
2021-08-25,6113.24,6094.15,6131.91,6093.1,21430000000.0,0.39
2021-08-24,6089.5,6114.67,6138.5,6053.57,23900000000.0,-0.33
2021-08-23,6109.83,6037.7,6109.83,6037.7,19380000000.0,1.31
2021-08-20,6030.77,5988.76,6030.77,5938.41,20100000000.0,0.64
2021-08-19,5992.32,6110.55,6111.01,5958.04,21440000000.0,-2.06
2021-08-18,6118.15,6109.56,6136.28,6040.6,20900000000.0,0.5
2021-08-16,6087.91,6144.94,6147.3,6056.74,17170000000.000002,-0.84
2021-08-13,6139.49,6154.05,6179.9,6113.26,16370000000.000002,0.0
2021-08-12,6139.65,6092.24,6139.81,6051.85,20700000000.0,0.84
2021-08-10,6088.41,6139.34,6147.77,6042.48,20500000000.0,-0.64
2021-08-09,6127.46,6203.75,6239.02,6110.55,29360000000.0,-1.22
2021-08-06,6203.43,6223.83,6263.54,6190.86,24550000000.0,-0.03
2021-08-05,6205.42,6174.61,6218.65,6173.57,26830000000.0,0.75
2021-08-04,6159.03,6142.48,6163.81,6112.72,27120000000.0,0.46
2021-08-03,6130.57,6108.0,6142.52,6105.11,22680000000.0,0.56
2021-08-02,6096.54,6098.01,6112.83,6048.1,21630000000.0,0.44
2021-07-30,6070.04,6136.37,6160.46,6069.84,19360000000.0,-0.83
2021-07-29,6120.73,6106.61,6135.35,6096.5,17890000000.0,0.53
2021-07-28,6088.52,6094.54,6116.51,6074.87,16120000000.000002,-0.14
2021-07-27,6097.05,6120.93,6144.59,6068.51,17920000000.0,-0.15
2021-07-26,6106.39,6109.03,6137.05,6091.02,15620000000.0,0.08
2021-07-23,6101.69,6145.76,6166.31,6090.6,14330000000.0,-0.58
2021-07-22,6137.55,6057.54,6137.55,6057.54,17840000000.0,1.78
2021-07-21,6029.98,6034.57,6053.19,6020.86,15310000000.0,0.21
2021-07-19,6017.39,6062.97,6063.65,6015.15,12300000000.0,-0.91
2021-07-16,6072.51,6063.42,6079.14,6051.76,12940000000.0,0.43
2021-07-15,6046.75,5986.65,6046.75,5982.8,14100000000.0,1.13
2021-07-14,5979.22,6008.24,6013.04,5947.62,13850000000.0,-0.55
2021-07-13,6012.03,6097.23,6114.29,6004.82,17260000000.0,-1.09
2021-07-12,6078.57,6060.05,6097.12,6055.99,13540000000.0,0.64
2021-07-09,6039.84,6037.0,6060.54,6026.55,13640000000.0,0.0
2021-07-08,6039.9,6052.8,6080.22,6028.61,15950000000.0,-0.07
2021-07-07,6044.04,6062.77,6066.99,6022.31,16550000000.0,-0.05
2021-07-06,6047.11,6015.58,6054.61,6013.06,16100000000.000002,0.69
2021-07-05,6005.61,6024.16,6036.98,5985.35,13170000000.0,-0.29
2021-07-02,6023.01,6020.07,6043.43,6014.87,14680000000.0,0.28
2021-07-01,6005.96,6001.12,6039.03,5969.1,14100000000.0,0.34
2021-06-30,5985.49,5950.43,6011.26,5950.42,20320000000.0,0.61
2021-06-29,5949.05,5944.24,5992.86,5913.59,18880000000.0,0.16
2021-06-28,5939.47,6015.28,6030.89,5939.47,14580000000.0,-1.38
2021-06-25,6022.4,6027.22,6067.79,6019.4,17240000000.0,0.17
2021-06-24,6012.06,6052.08,6060.49,6003.2,16850000000.000002,-0.37
2021-06-23,6034.54,6095.9,6130.1,6034.54,19960000000.0,-0.88
2021-06-22,6087.84,6006.66,6118.86,6006.66,15120000000.0,1.53
2021-06-21,5996.25,5959.97,6021.49,5884.92,16000000000.0,-0.18
2021-06-18,6007.12,6065.52,6070.42,5944.05,23800000000.0,-1.01
2021-06-17,6068.45,6063.54,6082.29,6034.83,20510000000.0,-0.17
2021-06-16,6078.57,6071.44,6114.1,6049.57,15300000000.0,-0.17
2021-06-15,6089.04,6085.36,6091.37,6051.24,16360000000.0,0.14
2021-06-14,6080.38,6110.8,6124.87,6071.73,19620000000.0,-0.25
2021-06-11,6095.5,6118.38,6134.88,6084.24,19650000000.0,-0.2
2021-06-10,6107.54,6065.93,6111.45,6064.93,21580000000.0,0.99
2021-06-09,6047.48,5973.04,6047.48,5972.45,23930000000.0,0.8
2021-06-08,5999.37,6071.25,6075.89,5992.12,26520000000.0,-1.16
2021-06-07,6069.94,6075.51,6088.0,6050.8,20000000000.0,0.08
2021-06-04,6065.17,6091.13,6103.86,6043.86,15870000000.0,-0.43
2021-06-03,6091.51,6038.86,6091.51,6005.64,18130000000.0,0.99
2021-06-02,6031.58,6002.48,6031.58,5991.51,17850000000.0,1.41
2021-05-31,5947.46,5869.22,5947.46,5860.54,16899999999.999998,1.69
2021-05-28,5848.62,5875.27,5891.47,5833.34,18150000000.0,0.12
2021-05-27,5841.83,5850.5,5904.84,5841.83,21190000000.0,0.45
2021-05-25,5815.84,5772.94,5848.55,5769.29,14460000000.0,0.91
